id,gender,articleType,baseColour,season,usage,productDisplayName,link
145,Men,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt,http://assets.myntassets.com/v1/images/style/properties/5c0c7cee1d5905a18f6a8d4821ae21aa_images.jpg
146,Unisex,Backpacks,Black,Fall,Sports,Nike Unisex Swoosh Black Backpack,http://assets.myntassets.com/v1/images/style/properties/6c411e5ff01a791860ac0807b719cf28_images.jpg
147,Men,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/477a546e340e50d1c7d4fb252a146692_images.jpg
148,Men,Sports Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/16a858c7c58d665ba030df2f9f326086_images.jpg
149,Men,Casual Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/aca469db7fbac91473fc2a810461889d_images.jpg
150,Women,Watches,White,Winter,Casual,Fastrack Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/1c5acff37ece119c5adfe594c2b4bdcd_images.jpg
151,Men,Bracelet,Steel,Summer,Casual,Revv Men Steel Bracelet,http://assets.myntassets.com/v1/images/style/properties/551485ddc5fa42d1734898e3b32e72c0_images.jpg
152,Women,Bra,Black,Summer,Casual,Lovable Women All Day Long Black Bra,http://assets.myntassets.com/v1/images/style/properties/cef99b09020adbc2a0d7e5f9889ce9c4_images.jpg
153,Men,Caps,White,Fall,Casual,Manchester United Men Solid White Cap,http://assets.myntassets.com/v1/images/style/properties/4d0de24d6538a8507059625949e34878_images.jpg
154,Women,Heels,Black,Winter,Casual,Rocia Women Black Heels,http://assets.myntassets.com/v1/images/style/properties/50c7dd932d347768b05766e5dd231355_images.jpg
155,Men,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,http://assets.myntassets.com/v1/images/style/properties/ef754e63472dece06abfa6d6c1266d91_images.jpg
156,Men,Casual Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/ff82e800185f09437bdd38606dbd4ec6_images.jpg
157,Men,Watches,Silver,Winter,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,http://assets.myntassets.com/v1/images/style/properties/Q-Q-Men-Silver-Dial-Watch_9bc915bdcff17ce2aa1168cf3a27654e_images.jpg
158,Men,Innerwear Vests,White,Summer,Casual,Levis Men White Innerwear Vest,http://assets.myntassets.com/v1/images/style/properties/Levis-Men-White-Innerwear-Vest_ead823677896c7f737a55a7750d809c7_images.jpg
159,Men,Watches,Black,Winter,Casual,Maxima Men Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Maxima-Men-Black-Dial-Watch_c427a05e5f1d545b2b03ad86b4960427_images.jpg
160,Men,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,http://assets.myntassets.com/v1/images/style/properties/f9622342fedb746c6515647f128b94a6_images.jpg
161,Men,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,http://assets.myntassets.com/v1/images/style/properties/cc57b520818a0ada689545d2bdd025d9_images.jpg
162,Women,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Sari_7e6a7f6bba933b0923861ac3b65c9f5e_images.jpg
163,Men,Casual Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/0ea0e6130d5d4c093e0e516f9b43ced6_images.jpg
164,Women,Casual Shoes,Green,Winter,Casual,Skechers Women Green Shoe,http://assets.myntassets.com/v1/images/style/properties/7de650b81e8fd8be54794b6f466f3b8e_images.jpg
165,Men,Watches,Silver,Winter,Casual,Maxima Men Ssteele Silver Dial Watch,http://assets.myntassets.com/v1/images/style/properties/1223bc5aa8de555c058dbafa61b4c6cf_images.jpg
166,Men,Watches,Gold,Winter,Casual,Titan Men Gold Dial Watch,http://assets.myntassets.com/v1/images/style/properties/946643c653dae988057d427e72b4d5f6_images.jpg
167,Men,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,http://assets.myntassets.com/v1/images/style/properties/bbddb8510d402639e0a038bde5ec08bb_images.jpg
168,Men,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,http://assets.myntassets.com/v1/images/style/properties/b24d6360e5f726e86b7db28e2225894b_images.jpg
169,Men,Watches,Brown,Winter,Casual,Maxima Men Brown Dial Watch,http://assets.myntassets.com/v1/images/style/properties/f0a2359518806948aa76a37b1c9fe2a9_images.jpg
170,Women,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/c843af98fead5393ecf56934e07ca496_images.jpg
171,Women,Flats,Brown,Winter,Casual,Catwalk Women Brown Sandals,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Brown-Sandals_c094f60d90c695681a6b79cf241777fc_images.jpg
172,Women,Perfume and Body Mist,White,Spring,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,http://assets.myntassets.com/v1/images/style/properties/3db0d3544350b8d72f968ede0af3b0d3_images.jpg
173,Women,Handbags,White,Winter,Casual,Kiara Women Graphiti White Handbag,http://assets.myntassets.com/v1/images/style/properties/97f41f38d2fa5f88fa5322daf7f093f6_images.jpg
174,Men,Sunglasses,Grey,Winter,Casual,Louis Philippe Men Grey Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Louis-Philippe-Men-Grey-Sunglasses_1446c537f905743abebac42f5a02f776_images.jpg
175,Men,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/e01152d30659f4099b46cb0c1fcb918b_images.jpg
176,Women,Earrings,Silver,Winter,Ethnic,Fabindia Women Anusuya Silver Earrings,http://assets.myntassets.com/v1/images/style/properties/f21ff0021d5d5095ed087314e548ea24_images.jpg
177,Unisex,Casual Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe,http://assets.myntassets.com/v1/images/style/properties/ef0e264ebd347265da9fcf1bdff4b2f5_images.jpg
178,Men,Belts,Tan,Summer,Casual,Peter England Men Casual Tan Belt,http://assets.myntassets.com/v1/images/style/properties/f8a2854d9f97f9fde7b768dd3648198d_images.jpg
179,Men,Formal Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe,http://assets.myntassets.com/v1/images/style/properties/0201105e4604bc784525d9cf0e972c40_images.jpg
180,Women,Belts,Grey,Winter,Casual,Lino Perros Women Weaved  Grey Belt,http://assets.myntassets.com/v1/images/style/properties/3f475c2e490c2e2c653f10aa5a4a4506_images.jpg
181,Women,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top,http://assets.myntassets.com/v1/images/style/properties/5b427e7381af213df2d54a17cd193aea_images.jpg
182,Unisex,Casual Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes,http://assets.myntassets.com/v1/images/style/properties/ea497c53bbc69cb510e3f7b2fe4a7abb_images.jpg
183,Men,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,http://assets.myntassets.com/v1/images/style/properties/47e0bf9f4a04bd6f5901c0f4fc65e54d_images.jpg
184,Men,Deodorant,Black,Spring,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,http://assets.myntassets.com/v1/images/style/properties/4f56561974db43db763f18a06caedbd0_images.jpg
185,Men,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/75c8932f3b5a274c73e3c94f95540d7b_images.jpg
186,Women,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Mousse Lipstick 025,http://assets.myntassets.com/v1/images/style/properties/ColorBar-Soft-Touch-Mousse-Lipstick-025_9acb45fa8b3bc6021e8ef261642e9de1_images.jpg
187,Women,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/bf2a4f36c9cc6b2fb51c5e7bad341681_images.jpg
188,Women,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers,http://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg
189,Women,Deodorant,Pink,Spring,Casual,Colour me Women Flowers Deo,http://assets.myntassets.com/v1/images/style/properties/Colour-me-Women-Flowers-Deo_bbdd019aace399d86a7f5c4ba11f6881_images.jpg
190,Girls,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg
191,Men,Formal Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/b195b911f558c0232e22849d1ca73193_images.jpg
192,Women,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/cc658745ce38f9e09bec039a997155a9_images.jpg
193,Unisex,Watches,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch,http://assets.myntassets.com/v1/images/style/properties/d63e1260ab9823cd64cbe4336a5bb94d_images.jpg
194,Women,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,http://assets.myntassets.com/v1/images/style/properties/5a76ef8930d8bd543d8f7e6f5383d390_images.jpg
195,Women,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts,http://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg
196,Women,Camisoles,Maroon,Winter,Casual,Red Rose Maroon Camisole,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Maroon-Bra_c75c0ad76e53ba58736e6f8fd21d07b0_images.jpg
197,Men,Boxers,Multi,Summer,Casual,Probase Multicoloured Printed Boxers,http://assets.myntassets.com/v1/images/style/properties/Probase-Men-Yellow-Boxers_80cada245724ee958e0c5721d51cfab7_images.jpg
198,Men,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,http://assets.myntassets.com/v1/images/style/properties/8e4099bc672a376b156e1fe903fd5e16_images.jpg
199,Women,Handbags,Blue,Summer,Casual,Baggit Women Blue Bag,http://assets.myntassets.com/v1/images/style/properties/895bed5b7e643c97fb880515cea0c930_images.jpg
200,Men,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/b54b7d7f19b9dbb54c85c584719c46ef_images.jpg
201,Girls,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
202,Men,Sports Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg
203,Women,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/e2604389938f13f2cc1a772bba320a45_images.jpg
204,Unisex,Backpacks,Red,Summer,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,http://assets.myntassets.com/v1/images/style/properties/d0817a4778047d75a9d4f32e78b9b1fd_images.jpg
205,Women,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging,http://assets.myntassets.com/v1/images/style/properties/054b93509e888e996ba7b12b554870e3_images.jpg
206,Men,Sports Shoes,Black,Fall,Sports,ADIDAS Men Sports Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/9c0d1badace8d2eb9680232648e94d85_images.jpg
207,Women,Kurtas,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,http://assets.myntassets.com/v1/images/style/properties/1dea61d01ec84aed63dcbb32adda717a_images.jpg
208,Men,Flip Flops,Black,Summer,Casual,Numero Uno Men Black Flip Flops,http://assets.myntassets.com/v1/images/style/properties/7b99e89eac30c7d4d78d54c8cc67e35a_images.jpg
209,Women,Handbags,Brown,Winter,Casual,Murcia Women Snake Print Bag Brown Handbags,http://assets.myntassets.com/v1/images/style/properties/b11805dfd1077ea3a4538fba3ffed149_images.jpg
210,Men,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/c6a6fbe4d75e40529b7be5427d095142_images.jpg
211,Women,Jewellery Set,Gold,Winter,Casual,Estelle Women Earrings & Pendant Set,http://assets.myntassets.com/v1/images/style/properties/4067d54c1f9caba707a51d665ef0e38e_images.jpg
212,Women,Dupatta,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta,http://assets.myntassets.com/v1/images/style/properties/88540c74d7d507c9371c5d9f37125ce1_images.jpg
213,Women,Watches,White,Winter,Casual,DKNY Women White Dial Watch NY8472,http://assets.myntassets.com/v1/images/style/properties/a002d0eed07e5e2c140da41e8db2ddf7_images.jpg
214,Men,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,http://assets.myntassets.com/v1/images/style/properties/98252134c6398e50aeebd873e6eafceb_images.jpg
215,Girls,Capris,Black,Summer,Casual,Gini and Jony Girls Black Capris,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
216,Men,Flip Flops,Red,Summer,Casual,Gliders Men Esquire Red Flip Flops,http://assets.myntassets.com/v1/images/style/properties/9c1df994bfd66e4485b82d0e74066d98_images.jpg
217,Women,Sports Shoes,Lavender,Summer,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/97b4da7324d9f9b3a6f507333141faae_images.jpg
218,Women,Bra,White,Summer,Casual,Enamor White Bra,http://assets.myntassets.com/v1/images/style/properties/493409fb23791fa2cb220289e92affd7_images.jpg
219,Men,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,http://assets.myntassets.com/v1/images/style/properties/1d2eaf1491e0bf4906165ab1eaff3ad1_images.jpg
220,Men,Sports Shoes,White,Fall,Casual,F Sports Men White Outlander Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-White-Outlander-Sports-Shoes_b600b7c68b5e9dd8b56dcd8732ce0fda_images.jpg
221,Women,Lip Gloss,Brown,Spring,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,http://assets.myntassets.com/v1/images/style/properties/Revlon-Gold-Dust-Poussiere-Doree-Colorburst-Lip-Gloss-024_ed41da69ac3f9c1c17cb6517a999b749_images.jpg
222,Men,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,http://assets.myntassets.com/v1/images/style/properties/987d4390421e951dafe4bfdaba57f5fd_images.jpg
223,Women,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,http://assets.myntassets.com/v1/images/style/properties/906c588711dcf840a61168758f463664_images.jpg
224,Men,Watches,White,Winter,Casual,Police Men White Dial Watch PL12698JS,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Steel-Dial-Watch_51e58f90f98b042641c9b54f09b54fd6_images.jpg
225,Women,Kurtas,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,http://assets.myntassets.com/v1/images/style/properties/2e25195b2eaba31b89a991f2e0dbd532_images.jpg
226,Men,Casual Shoes,Black,Summer,Casual,FILA Men Liga II Black Shoes,http://assets.myntassets.com/v1/images/style/properties/ea051d39d65bfdcba994e6cd49061bd7_images.jpg
227,Women,Earrings,Gold,Winter,Casual,Estelle Women Gold Earrings,http://assets.myntassets.com/v1/images/style/properties/Estelle-Earrings_7271511bf974f34b0c0e80431617e034_images.jpg
228,Women,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,http://assets.myntassets.com/v1/images/style/properties/144954d20ce2e31fe6953f3e249e9a68_images.jpg
229,Women,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,http://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg
230,Men,Sunglasses,Gold,Winter,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,http://assets.myntassets.com/v1/images/style/properties/e9266175735b50a2f6d100ae2ef44fe6_images.jpg
231,Men,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/8f3b9f4c5f554e39681567b22985966e_images.jpg
232,Men,Sports Shoes,Black,Summer,Sports,Puma Men's YugoRun Black White Shoe,http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg
233,Women,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,http://assets.myntassets.com/v1/images/style/properties/58c4b740c2d2e9b52c6900579c7ff2d2_images.jpg
234,Men,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-White-and-Navy-Blue-Stripe-Polo-T-shirt_a81acd98afcadd66fa8ee8531c82ad46_images.jpg
235,Girls,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
236,Women,Tops,Black,Summer,Casual,ONLY Women Black Top,http://assets.myntassets.com/v1/images/style/properties/9d4d7aa206e22813311c0a0406ce02a4_images.jpg
237,Men,Deodorant,Gold,Spring,Casual,Colour me Men Gold Deo,http://assets.myntassets.com/v1/images/style/properties/Colour-me-Men-Gold-Deo_73efa9034af7165f848dcc367558b461_images.jpg
238,Women,Wallets,Black,Summer,Casual,Baggit Women Lamboo Mayur Black Wallet,http://assets.myntassets.com/v1/images/style/properties/6222ae36196ec90b30a683927c219428_images.jpg
239,Women,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg
240,Women,Sports Shoes,Pink,Summer,Sports,Nike Women Free Run Pink Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/5b0a6dd6aadd4d4ba230ff849b36481b_images.jpg
241,Men,Sandals,Black,Summer,Casual,Estd. 1977 Men Black Sandals,http://assets.myntassets.com/v1/images/style/properties/2a07ce87fedfca8928f12f3ddf6b7632_images.jpg
242,Men,Flip Flops,Black,Summer,Casual,ADIDAS Men Adi Cells Black Flip Flops,http://assets.myntassets.com/v1/images/style/properties/b057c9e8d5ccc63369807a12f67a39ac_images.jpg
243,Men,Casual Shoes,Brown,Summer,Casual,GAS Men Brown Count Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/f2d705addd04fcf5516aef873254441e_images.jpg
244,Women,Bath Robe,Pink,Winter,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Bath-Robe_b47ef24153050e66fce7429a01204ca9_images.jpg
245,Unisex,Caps,White,Fall,Casual,Puma Unisex White Cap,http://assets.myntassets.com/v1/images/style/properties/Puma-Unisex-White-Cap_d397dc3eb9ff8a12d079f08a9b6c430d_images.jpg
246,Women,Mufflers,Yellow,Fall,Casual,United Colors Of Benetton Women Yellow Muffler,http://assets.myntassets.com/v1/images/style/properties/70506325cf800559ba06b15300846ea8_images.jpg
247,Women,Flip Flops,Blue,Summer,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,http://assets.myntassets.com/v1/images/style/properties/9234f2dacc377d713b7788f670f7bf9d_images.jpg
248,Men,Flip Flops,Brown,Summer,Casual,Coolers Men Brown Pokar Flip Flops,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-POKAR-Brown-Flip-Flops_8b247db935e7cfffb8f5a0b8d578f7bf_images.jpg
249,Women,Handbags,Beige,Fall,Casual,Baggit Women Beige Bag,http://assets.myntassets.com/v1/images/style/properties/1041605c3decc95ef96c970da17ad051_images.jpg
250,Women,Kurtas,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Navy-Blue-Kurta_269c51a0aa07f814b0d68df6b37d4113_images.jpg
251,Men,Sports Shoes,White,Fall,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c7a70ae4f57ca4c605f4fabb82c735fc_images.jpg
252,Men,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt,http://assets.myntassets.com/v1/images/style/properties/e87ae94ffdf37c089daaad8d451f6995_images.jpg
253,Men,Casual Shoes,White,Fall,Casual,Nike Men White Capri II Casual Shoe,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg
254,Men,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
255,Women,Tunics,White,Summer,Casual,Fusion Beats Women White Printed Tunic,http://assets.myntassets.com/v1/images/style/properties/3c92594cc9b62cba6a314a9ca9fd1e19_images.jpg
256,Women,Kurtas,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,http://assets.myntassets.com/v1/images/style/properties/a576a21253c4cc6b7c04426389c1c58f_images.jpg
257,Women,Flats,Brown,Winter,Casual,Inc 5 Women Brown Heels,http://assets.myntassets.com/v1/images/style/properties/be1fc833328c2708141568e2476abe81_images.jpg
258,Women,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg
259,Women,Kurtas,Peach,Summer,Ethnic,W Women Peach Kurta,http://assets.myntassets.com/v1/images/style/properties/8e6291cb947f1d35eb4ebc3c73baf1eb_images.jpg
260,Men,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,http://assets.myntassets.com/v1/images/style/properties/2811fe105e63b5795a6442edb85bb6cd_images.jpg
261,Women,Heels,Gold,Winter,Casual,Catwalk Women Golden Wedges,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Golden-Sandals_5fddd65067f3c7c0224439efc7a99ac8_images.jpg
262,Women,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg
263,Women,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top,http://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg
264,Women,Flats,Copper,Winter,Casual,Rocia Women Copper Sandals,http://assets.myntassets.com/v1/images/style/properties/93455095a8c1bc951c7bd258b600dfa1_images.jpg
265,Men,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,http://assets.myntassets.com/v1/images/style/properties/Classic-Polo-Mens-Swiss-Yellow-T-shirt_e87fa11cdb977d11d3e673a69f4a63db_images.jpg
266,Men,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,http://assets.myntassets.com/v1/images/style/properties/7c9e2e7c405128361af34be207a439a2_images.jpg
267,Men,Belts,Black,Summer,Casual,Lino Perros Men Black Leather Belt,http://assets.myntassets.com/v1/images/style/properties/749432e06d8d1b969077552ecebd9cd4_images.jpg
268,Men,Sandals,Tan,Summer,Casual,Gas Men Eldorado Tan Casual  Sandals,http://assets.myntassets.com/v1/images/style/properties/465863ba7b810b5ef6c516fe91c77308_images.jpg
269,Women,Briefs,Brown,Summer,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief,http://assets.myntassets.com/v1/images/style/properties/9d76cb50cdc99a3519f78164dbc691ae_images.jpg
270,Men,Tshirts,White,Summer,Casual,French Connection Men White T-shirt,http://assets.myntassets.com/v1/images/style/properties/9dc3c008c07a5df5b46622ee5d8579de_images.jpg
271,Women,Flats,Silver,Fall,Casual,Carlton London Women Wedge Silver Sandal,http://assets.myntassets.com/v1/images/style/properties/a2a3d03e64b5041ab052d5a6b10d282a_images.jpg
272,Women,Clutches,Off White,Summer,Casual,Yelloe Off White Fur Zip Clutch,http://assets.myntassets.com/v1/images/style/properties/b548017b7f2a2d8582c75ac1afeeb28b_images.jpg
273,Women,Tops,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,http://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg
274,Men,Briefs,Grey,Summer,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Ultimate-Grey-Brief_0782bb329d30535e2a3bef5657940458_images.jpg
275,Women,Lipstick,Red,Spring,Casual,Revlon Super Lusterous Lipstick 304,http://assets.myntassets.com/v1/images/style/properties/Revlon-Super-Lusterous-Mad-About-Mauve-Lipstick-304_82c2b163c41babfca78eeb61693c666d_images.jpg
276,Men,Perfume and Body Mist,Green,Spring,Casual,Formula 1 Go Men Perfume,http://assets.myntassets.com/v1/images/style/properties/ebe4131154706db0b3469237133343e2_images.jpg
277,Girls,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
278,Unisex,Caps,Blue,Summer,Sports,ADIDAS Unisex Blue Cap,http://assets.myntassets.com/v1/images/style/properties/Adidas-Unisex-Blue-Capf0fdfddb2e26677c8067afe9586c6cba_images.jpg
279,Men,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,http://assets.myntassets.com/v1/images/style/properties/6c598ee94ff155384130481aec05525e_images.jpg
280,Men,Wallets,Black,Summer,Casual,United Colors of Benetton Men Solid Black Wallets,http://assets.myntassets.com/v1/images/style/properties/09fca1f67e3f78b18f76473749d93e59_images.jpg
281,Women,Tops,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top,http://assets.myntassets.com/v1/images/style/properties/9e616458a21ce9d3b0ddf0895b24df0b_images.jpg
282,Men,Tshirts,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/10d750eb60726aff0c78cd599a20e0ab_images.jpg
283,Women,Sports Shoes,Purple,,Sports,Kalenji Ekiden 200 Wn Purple 2011,http://assets.myntassets.com/v1/images/style/properties/5dfa5ed32e290bbaeedd937ecdaa9a8b_images.jpg
284,Women,Flip Flops,Orange,Summer,Casual,Lotto Women Coral Elegant Flip Flops,http://assets.myntassets.com/v1/images/style/properties/839c627c80dba9ac4412db3f35a52bb7_images.jpg
285,Men,Shirts,Green,Fall,Casual,Flying Machine Men Check Green Shirts,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg
286,Men,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Applique Navy Blue Tshirt,http://assets.myntassets.com/v1/images/style/properties/7909093ce4f956a24582b330a249d911_images.jpg
287,Men,Flip Flops,Grey,Winter,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop,http://assets.myntassets.com/v1/images/style/properties/9473ae18face7603f7bdb4b6fda3d8e2_images.jpg
288,Men,Sandals,Brown,Summer,Casual,Lee Cooper Men Brown Casual Sandals,http://assets.myntassets.com/v1/images/style/properties/99808c9bdfee6165a0cec81d0219c1a1_images.jpg
289,Men,Sandals,Olive,Fall,Casual,Puma Men Olive Techno Ind Sandal,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Olive-Techno-Ind-Sandal_3e7aa0b204f4317a017dfbefe260700b_images.jpg
